tag-count,filename,substantiality,positive-emo,negative-emo,neutral-emo,acts,static,external,habitual,state,status,spatial,temporal,quantity,abstract,social,observation,judgment,animal,human,organization,Food&Beverage,clothing,amusement,transportation,body-part,activity,place,item,academics,plant,building,health,tool,environment,communication,wh-pronoun,joy,trust,surprise,anticipation,acknowledgment,fear,sadness,disgust,anger,disappointment,moment,number,idea,lifestyle,event,impingement,action,process,measurement,moving,motion,emotive,denial,ambient,psych,possession,factual,expectation,cognition,sensation,experience,gratitude,light,color,sound,taste,smell,surface,pattern,efficiency,action-style,smoothness,composition,type,stability,consistency,ripeness,dampness,purity,gravity,physics,chemistry,temperature,alive,affliction,desire,appearance,position,dimension,direction,location,origin,distribution,form,present,distance,demonstrative,time,velocity,age,sequence,modal,amount,cost,profit,frequency,perception,intelligence,knowledge,human-like,animal-like,discipline,skill,sympathy,inclination,method,luck,wh-adverb,class,institution,religion,racial,requirement,function,purpose,relation,sameness,format,benefit,compare,evaluation,validity,certainty,effectiveness,difficulty,security,order,accuracy,degree,quality
2978566,S1,369417,411,3041,363476,129552,380981,0,26195,253,629,213650,222907,20913,7975,146,65434,158412,30908,207511,8239,22882,608,2653,1236,11629,7463,33209,8879,4163,5373,1749,7357,5839,14242,1866,11852,99,287,1,0,0,972,342,1723,2,2,51620,224962,55318,5120,21402,5883,88524,8268,93,17842,28492,394,61,150,9546,482,231038,1083,93300,12394,35462,0,0,0,0,0,0,0,5775,0,20420,0,63,64,1,0,0,5,0,0,61,3,16,1321,156,86,0,0,18,31019,67428,73,284,12,0,165,114847,35211,562,37,93812,85725,19692,0,0,10666,0,0,10,0,0,0,0,10,9,4755,0,6681,0,146,0,0,112,90,5,32140,5377,4,167,22485,21441,640,21719,1018,0,40,8,30140,83021,0
3785062,S2,502917,1210,4281,337835,193970,471714,0,42750,295,710,226376,317928,26377,12408,152,81966,176480,29243,306387,11140,44520,649,3027,3621,11621,11583,44397,9829,5797,7373,3043,4454,8396,24686,1617,10963,454,492,3,31,0,1675,274,2286,21,25,77247,170339,56232,8068,19682,9000,139601,12625,62,29249,37731,1781,79,432,16337,318,257830,1760,137808,12992,49259,0,0,1,0,0,0,0,5558,0,37192,0,75,61,0,0,0,0,0,0,38,0,29,1552,163,237,0,0,30,41387,91415,61,483,73,0,116,93469,67560,753,92,135747,104468,25580,0,0,13317,1,0,10,0,0,0,0,17,51,6621,0,7011,0,152,0,0,323,175,112,42337,5759,53,300,28088,20335,887,18631,1379,0,26,10,34673,99907,0
3044093,S3,364195,956,4020,260437,131399,364898,0,29353,408,936,174281,221364,23211,8977,255,61349,129739,22986,187501,13935,34774,383,2674,2934,8772,10795,43667,6681,4476,5581,2430,6291,7776,21355,2187,7166,268,454,1,19,0,1748,345,1919,4,4,54569,128884,50079,4883,16897,6331,95669,8903,122,20210,23056,1229,415,189,10948,428,194587,2108,108392,9904,41462,0,0,0,0,0,0,0,4013,0,25340,0,119,70,1,0,0,1,0,0,63,8,27,1102,299,192,5,0,25,29857,72613,59,457,29,0,239,71418,43737,567,32,88682,81427,21586,0,0,11189,0,0,4,0,0,0,0,12,46,4558,0,5837,0,255,0,0,213,198,19,31791,3413,25,159,22302,16210,833,14788,928,0,31,16,22819,73491,0
189535,S4,16662,57,286,9837,7211,16139,0,1430,4,4,7118,13022,658,432,3,3180,6950,321,13028,51,455,46,71,62,249,180,910,238,123,40,68,17,199,138,62,808,3,3,1,18,0,10,1,256,13,6,2036,5399,2008,40,252,357,4433,359,1,689,2460,56,3,4,405,0,9814,20,4825,372,967,0,1,1,0,0,0,0,262,0,1168,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,6,1594,1781,0,4,0,1,2,3752,1642,34,1,7867,3319,695,0,0,217,1,0,0,0,0,0,0,0,1,33,0,414,0,3,0,0,7,3,3,1420,789,0,2,690,625,19,652,78,0,0,4,2444,3139,0
4442970,S5,638388,1384,5369,456264,211835,571263,0,44916,319,670,279208,332920,34286,12617,228,91926,230814,27750,428702,14735,18368,703,4520,3433,11257,11389,48675,15876,11409,3960,2985,4753,8795,18619,2862,13767,178,494,3,31,0,1239,291,3692,38,109,88542,251707,71940,7153,29110,9404,137381,11192,107,29260,60450,1250,162,153,23756,567,324280,1737,152454,19583,52416,0,0,0,0,0,0,0,6918,0,37998,0,87,81,1,0,0,0,0,0,51,4,27,2836,259,196,7,0,34,52710,99149,62,421,42,0,122,127039,64189,588,39,143733,113568,32585,0,0,15486,0,0,14,0,0,0,0,14,17,6345,0,10414,0,228,0,0,226,161,40,46616,8700,25,344,29176,29841,861,25823,1589,0,24,20,44458,127724,1
476044,S6,71932,645,1017,29996,28435,63313,0,6910,31,63,21306,43495,3211,2327,8,9628,27786,1406,50745,491,4302,207,363,401,1356,975,2950,1396,911,3142,245,328,1235,2335,184,2886,47,60,0,21,0,58,37,761,53,108,6638,13999,5827,488,2610,1131,20874,1256,5,3574,5687,607,17,30,2880,11,34386,191,19495,1763,5797,0,0,2,0,0,0,0,2050,0,4860,0,25,4,0,0,0,0,0,0,0,0,1,65,9,31,0,0,2,4332,7371,5,45,3,0,4,9675,13347,200,1,14662,14637,2999,0,0,1161,2,0,0,0,0,0,0,5,3,444,0,1315,0,8,0,0,33,5,11,6132,735,3,54,2052,1699,111,4448,324,0,2,2,7745,13485,0
5235020,S7,687737,2488,10304,468121,245841,691924,0,52449,645,1328,320625,448331,35474,17196,218,111382,267962,56303,398030,9070,71087,1499,4638,4145,12810,16180,49573,16928,8192,10044,4068,5646,16842,39659,3342,20958,272,610,10,52,0,2037,550,7593,81,43,97629,244152,83163,7244,28673,11317,178650,11793,189,29756,52977,1405,229,317,17768,549,421823,1700,178008,18739,59490,0,0,0,0,0,0,0,10881,0,41568,0,235,178,0,0,0,12,0,0,106,1,36,1010,272,123,2,0,75,52934,113577,121,572,45,0,326,153564,81293,1868,98,196924,157457,34675,0,0,15257,0,0,5,0,0,0,0,26,40,7241,0,13205,0,218,0,0,270,188,24,56199,8008,37,227,38817,31838,1161,33447,1633,0,31,15,52494,146271,0
391754,S8,60947,480,727,33232,23084,65253,0,4942,5,21,19925,38738,2731,1947,15,9062,23920,2007,46235,306,1707,108,540,180,1402,967,2140,1185,1088,295,110,283,500,910,340,2033,125,104,5,4,0,102,30,588,2,5,6195,15937,6537,518,3567,1112,16742,1144,5,1615,6072,299,255,12,3184,16,36278,203,18545,2275,5336,0,0,0,0,0,0,0,759,0,4183,0,2,0,0,0,0,0,0,0,3,0,0,56,7,9,0,0,2,3342,6393,0,31,2,0,27,10151,6354,137,0,16930,14291,2812,0,0,1304,0,0,0,0,0,0,0,2,0,468,0,1769,0,15,0,0,13,0,4,4747,827,0,43,2649,2816,51,2088,161,0,8,0,6164,12554,0
11823,S9,1245,3,5,1106,480,1176,0,61,3,0,464,475,112,51,3,174,278,7,463,133,5,0,9,0,6,76,336,39,59,0,6,6,44,18,28,15,1,2,0,0,0,3,0,1,1,0,218,292,408,6,146,33,326,22,7,28,107,8,1,0,44,15,523,7,415,31,146,0,0,0,0,0,0,0,7,0,54,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,154,210,0,7,0,0,3,91,84,0,0,149,223,81,0,0,69,0,0,0,0,0,0,0,0,0,7,0,45,0,3,0,0,2,2,1,83,15,0,0,67,28,2,29,0,0,2,0,88,128,1
3968,S10,545,0,1,179,240,261,0,23,0,0,139,190,12,12,0,27,96,1,437,4,16,8,2,4,11,2,11,6,3,11,5,0,12,0,0,19,0,0,0,0,0,0,0,0,1,0,42,88,20,0,18,18,105,19,0,38,67,6,0,0,9,0,146,0,89,8,16,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,65,0,0,0,0,0,25,78,1,0,51,58,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,19,0,0,0,3,6,0,15,0,0,0,0,30,46,0
